19,oroq,airshampoo,2016-09-28 23:11:16.827077,hello,0,0,0,0
26,oroq,oroq,2016-09-28 23:17:51.765893,!arrow 150 150,1,1,0,0
27,oroq,oroq,2016-09-28 23:18:53.973293,!arrow 30 30,1,1,0,0
28,oroq,oroq,2016-09-28 23:20:04.519158,!monster a 10 10,1,1,0,0
30,oroq,oroq,2016-09-28 23:20:20.676219,!monster b 10 10,1,1,0,0
31,oroq,oroq,2016-09-28 23:20:24.548760,!monster b 30 30,1,1,0,0
32,oroq,oroq,2016-09-28 23:20:28.300052,!monster b 30 30,1,1,0,0
33,oroq,oroq,2016-09-28 23:24:30.582084,!monster a -10 -10,1,1,0,0
34,oroq,oroq,2016-09-28 23:24:48.297154,!arrow 10 10,1,1,0,0
35,oroq,oroq,2016-09-28 23:24:53.177092,!arrow -10 -10,1,1,0,0
15,oroq,oroq,2016-09-28 23:32:22.526077,!monster a 10 10,1,1,0,0
16,oroq,oroq,2016-09-28 23:32:57.102443,!monster a 10 10,1,1,0,0
18,oroq,oroq,2016-09-28 23:36:35.221800,!monster a 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:40:50.400115,!monster a 10 10,1,1,0,0
16,oroq,oroq,2016-09-28 23:40:56.642216,!monster a 10 10,1,1,0,0
17,oroq,oroq,2016-09-28 23:41:01.970217,!monster a 10 10,1,1,0,0
18,oroq,oroq,2016-09-28 23:41:07.668097,!monster a 10 10,1,1,0,0
19,oroq,oroq,2016-09-28 23:41:13.352035,!monster a -10 -10,1,1,0,0
20,oroq,oroq,2016-09-28 23:41:27.900801,!monster a 0 0,1,1,0,0
21,oroq,oroq,2016-09-28 23:41:32.899225,!monster a 10 10,1,1,0,0
22,oroq,oroq,2016-09-28 23:42:31.162404,!monster b 10 10,1,1,0,0
23,oroq,oroq,2016-09-28 23:42:43.151975,!monster b -10 -10,1,1,0,0
15,oroq,oroq,2016-09-28 23:43:50.068172,!monster b -10 -10,1,1,0,0
15,oroq,oroq,2016-09-28 23:45:03.430885,!monster b -10 -10,1,1,0,0
15,oroq,oroq,2016-09-28 23:45:32.737408,!monster b 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:46:08.514320,!monster b 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:46:59.905053,!monster b 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:47:17.780478,!monster b 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:49:19.613007,!monster b 10 10,1,1,0,0
15,oroq,oroq,2016-09-28 23:52:14.099493,!monster b 10 10,1,1,0,0
16,oroq,oroq,2016-09-28 23:52:38.979734,!monster b 150 150,1,1,0,0
21,oroq,oroq,2016-09-28 23:55:10.909384,!monster a 10 10,1,1,0,0
23,oroq,antequin,2016-09-28 23:58:52.799943,!monster a 30 30,0,0,0,0
24,oroq,antequin,2016-09-28 23:59:02.245097,!monster a 25 25,0,0,0,0
25,oroq,oroq,2016-09-28 23:59:23.204437,i will stop ruining the stream,1,1,0,0
26,oroq,oroq,2016-09-28 23:59:26.568224,but i cant really touch things,1,1,0,0
27,oroq,antequin,2016-09-28 23:59:41.093293,what you mean,0,0,0,0
28,oroq,antequin,2016-09-28 23:59:58.127075,oh like you can't do other stuff,0,0,0,0
29,oroq,antequin,2016-09-28 23:59:58.228723,kk,0,0,0,0
30,oroq,oroq,2016-09-29 00:00:01.172058,need to keep unity window,1,1,0,0
31,oroq,oroq,2016-09-29 00:00:03.418129,foregrounded,1,1,0,0
32,oroq,oroq,2016-09-29 00:00:06.939875,ok radio silence,1,1,0,0
37,oroq,antequin,2016-09-29 00:01:07.462937,who is recording the streaming?,0,0,0,0
38,oroq,oroq,2016-09-29 00:01:11.033954,me,1,1,0,0
40,oroq,antequin,2016-09-29 00:01:28.716248,!monster a 30 30,0,0,0,0
41,oroq,antequin,2016-09-29 00:01:46.374090,!monster a 20 20,0,0,0,0
42,oroq,oroq,2016-09-29 00:02:07.215679,!arrow 150 -150,1,1,0,0
43,oroq,eggscracker,2016-09-29 00:02:11.195091,!monster c 10 10,0,0,0,0
44,oroq,oroq,2016-09-29 00:02:20.388275,!arrow 30 -30,1,1,0,0
45,oroq,antequin,2016-09-29 00:02:20.781369,!monster a 0 -30,0,0,0,0
46,oroq,antequin,2016-09-29 00:02:41.503672,!monster a 0 -20,0,0,0,0
47,oroq,eggscracker,2016-09-29 00:02:41.709020,!arrow 30 30,0,0,0,0
48,oroq,antequin,2016-09-29 00:03:03.492702,!monster 0 -15,0,0,0,0
49,oroq,eggscracker,2016-09-29 00:03:13.417824,!monster a 20 20,0,0,0,0
50,oroq,antequin,2016-09-29 00:03:34.762523,!monster d 0 30,0,0,0,0
51,oroq,antequin,2016-09-29 00:03:39.280345,!monster d 0 25,0,0,0,0
52,oroq,eggscracker,2016-09-29 00:03:43.085966,!arrow 30 30,0,0,0,0
53,oroq,oroq,2016-09-29 00:03:48.506056,!arrow 0,1,1,0,0
54,oroq,antequin,2016-09-29 00:03:54.297680,!monster d 0 27,0,0,0,0
55,oroq,antequin,2016-09-29 00:04:10.803373,!arrow -20 -20,0,0,0,0
56,oroq,eggscracker,2016-09-29 00:04:15.972784,!monster d 49 20,0,0,0,0
57,oroq,eggscracker,2016-09-29 00:04:37.724986,!arrow 20 -20,0,0,0,0
59,oroq,oroq,2016-09-29 00:05:44.147169,!arrow 20 -20,1,1,0,0
15,oroq,eggscracker,2016-09-29 00:06:16.504208,!monster a 19 10,0,0,0,0
16,oroq,oroq,2016-09-29 00:06:27.344698,fixed arrow,1,1,0,0
21,oroq,antequin,2016-09-29 00:08:45.752583,!monster a 0 -10,0,0,0,0
22,oroq,antequin,2016-09-29 00:08:50.161040,oh what happen?,0,0,0,0
23,oroq,oroq,2016-09-29 00:08:55.085928,sorry,1,1,0,0
24,oroq,oroq,2016-09-29 00:08:59.215125,setting up recording,1,1,0,0
25,oroq,oroq,2016-09-29 00:09:02.584788,go now,1,1,0,0
26,oroq,antequin,2016-09-29 00:09:03.295302,kk,0,0,0,0
27,oroq,oroq,2016-09-29 00:09:05.988503,!arrow 20 -20,1,1,0,0
28,oroq,antequin,2016-09-29 00:09:11.773057,!arrow -10 -10,0,0,0,0
29,oroq,eggscracker,2016-09-29 00:09:12.845537,!monster a 0 10,0,0,0,0
15,oroq,eggscracker,2016-09-29 00:09:25.124695,!arrow 20 20,0,0,0,0
16,oroq,oroq,2016-09-29 00:09:29.640868,!arrow -20 20,1,1,0,0
17,oroq,antequin,2016-09-29 00:09:31.364020,!arrow -5 -5,0,0,0,0
18,oroq,eggscracker,2016-09-29 00:09:41.091541,!arrow 5 10,0,0,0,0
19,oroq,antequin,2016-09-29 00:09:43.842883,!monster a 0 -20,0,0,0,0
20,oroq,antequin,2016-09-29 00:09:56.431564,!monster a 0 -30,0,0,0,0
21,oroq,oroq,2016-09-29 00:09:59.492306,hold on,1,1,0,0
22,oroq,antequin,2016-09-29 00:10:01.486285,kk,0,0,0,0
23,oroq,oroq,2016-09-29 00:10:02.498277,arrow still not working,1,1,0,0
24,oroq,oroq,2016-09-29 00:10:26.947401,type arrow commands here,1,1,0,0
25,oroq,oroq,2016-09-29 00:10:27.884919,please,1,1,0,0
26,oroq,oroq,2016-09-29 00:10:44.665341,!arrow -20 20,1,1,0,0
27,oroq,oroq,2016-09-29 00:10:49.237714,!arrow 20 20,1,1,0,0
28,oroq,antequin,2016-09-29 00:10:51.771721,!arrow 2 2,0,0,0,0
29,oroq,oroq,2016-09-29 00:10:56.223067,weird its working in unity,1,1,0,0
30,oroq,antequin,2016-09-29 00:10:57.602719,!arrow 10 10,0,0,0,0
31,oroq,oroq,2016-09-29 00:10:58.663587,!arrow -2 -2,1,1,0,0
32,oroq,eggscracker,2016-09-29 00:10:59.869850,!arrow -20 20,0,0,0,0
33,oroq,eggscracker,2016-09-29 00:11:19.095140,!arrow -20 0,0,0,0,0
34,oroq,antequin,2016-09-29 00:11:26.566162,i guess the only difference with the monsters commands,0,0,0,0
35,oroq,oroq,2016-09-29 00:11:34.383273,monsters are working,1,1,0,0
36,oroq,antequin,2016-09-29 00:11:36.289185,is that there is one variable/field less,0,0,0,0
37,oroq,oroq,2016-09-29 00:11:41.369443,yes,1,1,0,0
38,oroq,antequin,2016-09-29 00:11:50.514374,but other than that is the same,0,0,0,0
39,oroq,oroq,2016-09-29 00:11:55.286068,!arrow 20 20,1,1,0,0
40,oroq,antequin,2016-09-29 00:12:00.134002,!arrow 10 10,0,0,0,0
41,oroq,antequin,2016-09-29 00:12:03.247791,!arrow 5 5,0,0,0,0
42,oroq,oroq,2016-09-29 00:12:05.533583,!arrow -20 -20,1,1,0,0
43,oroq,oroq,2016-09-29 00:12:14.272844,ok working,1,1,0,0
44,oroq,oroq,2016-09-29 00:12:14.913056,weird,1,1,0,0
47,oroq,oroq,2016-09-29 00:12:31.058750,!arrow -5 5,1,1,0,0
50,oroq,antequin,2016-09-29 00:12:33.283507,!arrow 5 5,0,0,0,0
51,oroq,antequin,2016-09-29 00:12:39.543674,!arrow 10 0,0,0,0,0
52,oroq,antequin,2016-09-29 00:12:54.063358,!arrow 5 5,0,0,0,0
53,oroq,eggscracker,2016-09-29 00:12:57.770070,!arrow -20 20,0,0,0,0
54,oroq,antequin,2016-09-29 00:13:14.115049,!monster a 0 -20,0,0,0,0
55,oroq,antequin,2016-09-29 00:13:18.531455,!monster a 0 -30,0,0,0,0
56,oroq,antequin,2016-09-29 00:13:39.773659,!monster b -30 0,0,0,0,0
57,oroq,antequin,2016-09-29 00:13:47.806528,!monster b -21 0,0,0,0,0
59,oroq,eggscracker,2016-09-29 00:13:54.059676,!monster b 6 6,0,0,0,0
60,oroq,antequin,2016-09-29 00:13:56.765219,!monster b -22 0,0,0,0,0
61,oroq,antequin,2016-09-29 00:13:59.703155,hahahahaha,0,0,0,0
62,oroq,antequin,2016-09-29 00:14:07.562435,!monster b -23 0,0,0,0,0
63,oroq,antequin,2016-09-29 00:14:17.467924,!monster c 0 -30,0,0,0,0
64,oroq,eggscracker,2016-09-29 00:14:20.141870,!monster b 10 10,0,0,0,0
65,oroq,antequin,2016-09-29 00:14:22.753072,!monster c 0 -20,0,0,0,0
66,oroq,antequin,2016-09-29 00:14:29.605078,!monster c 0 -23,0,0,0,0
67,oroq,eggscracker,2016-09-29 00:14:37.478089,!monster a 40 0,0,0,0,0
68,oroq,antequin,2016-09-29 00:14:41.521310,food is moving too right?,0,0,0,0
69,oroq,antequin,2016-09-29 00:14:52.969214,!monster a -30 0,0,0,0,0
70,oroq,eggscracker,2016-09-29 00:15:03.239189,!monster b 20 20,0,0,0,0
71,oroq,antequin,2016-09-29 00:15:03.819008,!monster c 0 -30,0,0,0,0
72,oroq,antequin,2016-09-29 00:15:18.331010,!monster c 0 -20,0,0,0,0
73,oroq,eggscracker,2016-09-29 00:15:29.065919,!monster b -21 -21,0,0,0,0
74,oroq,antequin,2016-09-29 00:15:33.279487,!monster a -20 0,0,0,0,0
75,oroq,antequin,2016-09-29 00:15:37.276943,!monster a -21 0,0,0,0,0
76,oroq,antequin,2016-09-29 00:15:44.817088,!monster a 0 -30,0,0,0,0
77,oroq,antequin,2016-09-29 00:15:50.712534,!monster a 0 -10,0,0,0,0
78,oroq,antequin,2016-09-29 00:16:01.392724,!monster d 0 -30,0,0,0,0
79,oroq,eggscracker,2016-09-29 00:16:03.896269,!monster b 20 10,0,0,0,0
80,oroq,antequin,2016-09-29 00:16:14.232224,!monster d -20,0,0,0,0
81,oroq,eggscracker,2016-09-29 00:16:23.281183,!monster c 99 10,0,0,0,0
82,oroq,antequin,2016-09-29 00:16:27.267980,!monster d 0 -20,0,0,0,0
83,oroq,antequin,2016-09-29 00:16:34.342224,movements higher than 30 do not work,0,0,0,0
84,oroq,antequin,2016-09-29 00:16:39.674650,have 0 effect,0,0,0,0
85,oroq,antequin,2016-09-29 00:16:42.914350,fyi,0,0,0,0
86,oroq,antequin,2016-09-29 00:16:50.573491,!monster d -30 -,0,0,0,0
87,oroq,antequin,2016-09-29 00:16:56.048219,!monster d -30 0,0,0,0,0
88,oroq,eggscracker,2016-09-29 00:17:08.959813,!monster b 10 10,0,0,0,0
89,oroq,eggscracker,2016-09-29 00:17:12.337373,ok,0,0,0,0
90,oroq,eggscracker,2016-09-29 00:17:39.919933,!monster b 10 0,0,0,0,0
91,oroq,eggscracker,2016-09-29 00:17:55.667393,!monster a 10 10,0,0,0,0
93,oroq,antequin,2016-09-29 00:18:42.389540,!monster a -10 0,0,0,0,0
94,oroq,antequin,2016-09-29 00:18:46.990119,!monster a 0 10,0,0,0,0
95,oroq,eggscracker,2016-09-29 00:18:50.496736,!monster b 10 10,0,0,0,0
96,oroq,antequin,2016-09-29 00:18:56.999025,!monster a 0 12,0,0,0,0
97,oroq,antequin,2016-09-29 00:19:00.475819,!monster a 0 21,0,0,0,0
98,oroq,antequin,2016-09-29 00:19:05.435265,!monster a 0 24,0,0,0,0
99,oroq,antequin,2016-09-29 00:19:13.727075,!monster 0 - 30,0,0,0,0
100,oroq,antequin,2016-09-29 00:19:17.481173,!monster a 0 -30,0,0,0,0
101,oroq,antequin,2016-09-29 00:19:24.813212,!monster a 0 -29,0,0,0,0
102,oroq,eggscracker,2016-09-29 00:19:24.914781,!monster c 0 -20,0,0,0,0
103,oroq,antequin,2016-09-29 00:19:31.953822,!monster a 0 -25,0,0,0,0
104,oroq,eggscracker,2016-09-29 00:19:32.310669,!monster d 10 2,0,0,0,0
105,oroq,antequin,2016-09-29 00:19:41.674901,!monster 0 -28,0,0,0,0
106,oroq,antequin,2016-09-29 00:19:46.852592,!monster a 0 -29,0,0,0,0
107,oroq,eggscracker,2016-09-29 00:19:53.641402,!monster b -21 -21,0,0,0,0
108,oroq,antequin,2016-09-29 00:19:58.186690,!monster a 0 -27,0,0,0,0
109,oroq,eggscracker,2016-09-29 00:20:21.717436,!monster b -21 -10,0,0,0,0
110,oroq,eggscracker,2016-09-29 00:20:57.823674,!monster c 5 7,0,0,0,0
111,oroq,oroq,2016-09-29 00:21:16.668251,we can wit here,1,1,0,0
112,oroq,oroq,2016-09-29 00:21:20.104203,hold on,1,1,0,0
118,oroq,antequin,2016-09-29 00:26:05.312274,!arrow 0 -30,0,0,0,0
119,oroq,antequin,2016-09-29 00:26:17.192531,!arrow 0 -20,0,0,0,0
120,oroq,oroq,2016-09-29 00:26:26.728054,!arrow 20 -20,1,1,0,0
121,oroq,antequin,2016-09-29 00:26:29.809938,!monster a -30 0,0,0,0,0
122,oroq,antequin,2016-09-29 00:26:35.080028,!monster a -20 0,0,0,0,0
123,oroq,eggscracker,2016-09-29 00:26:37.427470,!monster a -30 10,0,0,0,0
124,oroq,eggscracker,2016-09-29 00:26:44.280046,!monster c 10 10,0,0,0,0
125,oroq,antequin,2016-09-29 00:26:47.617639,!monster a 0 -23,0,0,0,0
126,oroq,eggscracker,2016-09-29 00:26:57.320531,!monster a 10 10,0,0,0,0
127,oroq,antequin,2016-09-29 00:26:58.058052,!monster b 0 -30,0,0,0,0
128,oroq,eggscracker,2016-09-29 00:27:04.825631,!arrow 10 10,0,0,0,0
129,oroq,antequin,2016-09-29 00:27:09.740087,!monster b 0 -23,0,0,0,0
130,oroq,oroq,2016-09-29 00:27:09.881433,!monster c 0 -30,1,1,0,0
131,oroq,oroq,2016-09-29 00:27:14.958859,!arrow 10 -10,1,1,0,0
132,oroq,antequin,2016-09-29 00:27:15.386984,!monster b 0 -24,0,0,0,0
133,oroq,antequin,2016-09-29 00:27:23.327295,!monster b 0 -23,0,0,0,0
134,oroq,eggscracker,2016-09-29 00:27:26.822659,!monster a 20 10,0,0,0,0
135,oroq,antequin,2016-09-29 00:27:27.308564,!monster b 0 -22,0,0,0,0
136,oroq,eggscracker,2016-09-29 00:27:33.282354,!monster a -3 10,0,0,0,0
137,oroq,antequin,2016-09-29 00:27:34.909021,!monster b 0 -21,0,0,0,0
138,oroq,antequin,2016-09-29 00:27:44.760412,!monster b 0 -30,0,0,0,0
139,oroq,eggscracker,2016-09-29 00:27:47.230348,!monster c 10 10,0,0,0,0
140,oroq,antequin,2016-09-29 00:27:47.744738,!monster 0 - 29,0,0,0,0
141,oroq,antequin,2016-09-29 00:27:51.018128,!monster 0 -30,0,0,0,0
142,oroq,antequin,2016-09-29 00:27:54.860088,!monster b 0 -29,0,0,0,0
143,oroq,antequin,2016-09-29 00:27:58.324455,!monster b 0 -30,0,0,0,0
144,oroq,eggscracker,2016-09-29 00:28:04.661712,!monster d 10 -10,0,0,0,0
146,oroq,antequin,2016-09-29 00:28:10.169989,!monster b -30 0,0,0,0,0
147,oroq,antequin,2016-09-29 00:28:14.220695,!monster b 0 -30,0,0,0,0
148,oroq,eggscracker,2016-09-29 00:28:23.249170,!monster c 10 -10,0,0,0,0
149,oroq,antequin,2016-09-29 00:28:32.449218,!monster b 0 30,0,0,0,0
150,oroq,antequin,2016-09-29 00:28:34.982325,!monster 0 29,0,0,0,0
151,oroq,antequin,2016-09-29 00:28:37.547120,!monster b 0 29,0,0,0,0
152,oroq,eggscracker,2016-09-29 00:28:40.177806,!monster a 10 10,0,0,0,0
153,oroq,antequin,2016-09-29 00:28:41.616783,!monster b 0 28,0,0,0,0
154,oroq,antequin,2016-09-29 00:28:53.216945,!monster 10 0,0,0,0,0
155,oroq,eggscracker,2016-09-29 00:28:56.890400,!monster d -10 -10,0,0,0,0
156,oroq,antequin,2016-09-29 00:28:58.321865,!monster b 10 0,0,0,0,0
157,oroq,antequin,2016-09-29 00:29:08.774697,!monster b 11 0,0,0,0,0
158,oroq,antequin,2016-09-29 00:29:17.051404,!monster b 12 0,0,0,0,0
159,oroq,eggscracker,2016-09-29 00:29:22.346601,!monster a 6 6,0,0,0,0
160,oroq,antequin,2016-09-29 00:29:31.259754,!monster b 14 0,0,0,0,0
161,oroq,eggscracker,2016-09-29 00:29:38.674268,!monster d -30 0,0,0,0,0
162,oroq,antequin,2016-09-29 00:29:51.871283,are monster moving,0,0,0,0
163,oroq,oroq,2016-09-29 00:30:00.851627,yes,1,1,0,0
164,oroq,antequin,2016-09-29 00:30:07.922409,!monster b 30 0,0,0,0,0
165,oroq,eggscracker,2016-09-29 00:30:10.902794,!monster a 10 10,0,0,0,0
166,oroq,antequin,2016-09-29 00:30:17.708481,!monster c 0 30,0,0,0,0
167,oroq,eggscracker,2016-09-29 00:30:33.852584,!monster a -30 10,0,0,0,0
168,oroq,antequin,2016-09-29 00:30:48.261200,!monster c 0 29,0,0,0,0
169,oroq,antequin,2016-09-29 00:30:52.863394,!monster c 0 28,0,0,0,0
170,oroq,eggscracker,2016-09-29 00:30:53.621403,!monster a 9 9,0,0,0,0
171,oroq,eggscracker,2016-09-29 00:30:59.283120,!monster d -30 0,0,0,0,0
172,oroq,oroq,2016-09-29 00:31:02.010728,ok,1,1,0,0
173,oroq,antequin,2016-09-29 00:31:02.750141,!monster c 0 29,0,0,0,0
174,oroq,antequin,2016-09-29 00:31:13.331990,!monster c 0 20,0,0,0,0
175,oroq,eggscracker,2016-09-29 00:31:15.843826,!monster b 10 10,0,0,0,0
176,oroq,oroq,2016-09-29 00:31:19.907859,lets hold,1,1,0,0
177,oroq,antequin,2016-09-29 00:31:33.582253,ok,0,0,0,0
181,oroq,oroq,2016-09-29 00:33:55.595655,ij!,1,1,0,0
182,oroq,oroq,2016-09-29 00:33:56.899007,ok!,1,1,0,0
183,oroq,oroq,2016-09-29 00:33:58.431076,good to go,1,1,0,0
